,Name,id_word,CDLI No,role,profession,Original date,Converted Date
42142,hu-un-ha-ab-ur[]PN,P134093.20.2,P134093,,,XXXX - 00 - 00,0.0
42143,za-ri₂-iq[]PN,P134093.23.1,P134093,,nubanda[overseer]N,XXXX - 00 - 00,0.0
42144,na-lu₅-ta[]PN,P134101.6.2,P134101,source,,AS03 - 02 - 23,69.0223
42145,ur-nigar{gar}[]PN,P134101.8.1,P134101,recipient,,AS03 - 02 - 23,69.0223
42146,{d}en-lil₂-la₂[]PN,P134101.11.3,P134101,,,AS03 - 02 - 23,69.0223
42147,{d}nanna-he₂-gal₂[]PN,P134112.4.3,P134112,,,AS04 - 04 - 00,70.04
42148,na-silim-ta[]PN,P134112.5.2,P134112,source,,AS04 - 04 - 00,70.04
42149,lu₂-du₁₀-ga[]PN,P134112.19.1,P134112,,dubsar[scribe]N,AS04 - 04 - 00,70.04
42150,nigar{gar}-ki-du₁₀[]PN,P134112.21.2,P134112,,arad[slave]N,AS04 - 04 - 00,70.04
42151,šu-ku₈-bu-um[]PN,P134153.9.2,P134153,,,SH29 - 06 - 00,47.06
42152,ur-{d}lugal-edin[]PN,P134154.20.2,P134154,,,SH46 - 08 - 06,64.0806
42153,a₂-bi₂-li₂-a[]PN,P134155.9.1,P134155,,,SH40 - 03 - 08,58.0308
42154,tab-ba-da-ra-ah[]PN,P134156.5.1,P134156,,,SH34 - 05 - 00,52.05
42155,{d}šul-gi-si₂-im-tum[]PN,P134156.8.1,P134156,,,SH34 - 05 - 00,52.05
42156,be-li₂-du₁₀[]PN,P134156.9.1,P134156,recipient,,SH34 - 05 - 00,52.05
42157,{d}nanna-ma-ba[]PN,P134157.5.2,P134157,intermediary,dubsar[scribe]N,SS03 - 04 - 07,78.0407
42158,{d}nanna-ma-ba[]PN,P134157.11.1,P134157,,dubsar[scribe]N,SS03 - 04 - 07,78.0407
42159,u₂-na-ab-še-en₆[]PN,P134157.13.2,P134157,,,SS03 - 04 - 07,78.0407
42160,ab-ba-sa₆-ga-ta[]PN,P134159.6.2,P134159,source,,AS05 - 09 - 00,71.09
42161,ur-{d}li₉-si₄[]PN,P134159.7.1,P134159,,ensik[ruler]N,AS05 - 09 - 00,71.09
42162,ur-{d}suen[]PN,P134160.10.2,P134160,new owner,,SH48 - 07 - 15,66.07149999999999
42163,{d}nin-ti₂-ug₅-ga[]PN,P134160.12.3,P134160,,,SH48 - 07 - 15,66.07149999999999
42164,tu-li-id-{d}utu-ši[]PN,P134160.17.2,P134160,new owner,zabardab[official]N,SH48 - 07 - 15,66.07149999999999
42165,lu₂-{d}nanna[]PN,P134160.20.2,P134160,new owner,šabra[administrator]N,SH48 - 07 - 15,66.07149999999999
42166,{d}šul-gi-ba-ni-il[]PN,P134160.21.3,P134160,,,SH48 - 07 - 15,66.07149999999999
42167,ARAD₂-mu[]PN,P134160.22.1,P134160,representative,,SH48 - 07 - 15,66.07149999999999
42168,na-sa₆-ta[]PN,P134160.27.2,P134160,source,,SH48 - 07 - 15,66.07149999999999
42169,nin₉-kal-la[]PN,P134161.5.1,P134161,,,SH36 - 09 - 00,54.09
